"sg_uf";"dt_evoluca";"obitos"
"MG";2020-01-01;0
"MG";2020-01-02;0
"MG";2020-01-03;0
"MG";2020-01-04;0
"MG";2020-01-05;0
"MG";2020-01-06;1
"MG";2020-01-07;0
"MG";2020-01-08;0
"MG";2020-01-09;0
"MG";2020-01-10;0
"MG";2020-01-11;1
"MG";2020-01-12;0
"MG";2020-01-13;0
"MG";2020-01-14;1
"MG";2020-01-15;0
"MG";2020-01-16;0
"MG";2020-01-17;2
"MG";2020-01-18;1
"MG";2020-01-19;0
"MG";2020-01-20;0
"MG";2020-01-21;0
"MG";2020-01-22;0
"MG";2020-01-23;0
"MG";2020-01-24;0
"MG";2020-01-25;0
"MG";2020-01-26;1
"MG";2020-01-27;0
"MG";2020-01-28;1
"MG";2020-01-29;4
"MG";2020-01-30;0
"MG";2020-01-31;2
"MG";2020-02-01;1
"MG";2020-02-02;1
"MG";2020-02-03;0
"MG";2020-02-04;0
"MG";2020-02-05;1
"MG";2020-02-06;3
"MG";2020-02-07;0
"MG";2020-02-08;2
"MG";2020-02-09;0
"MG";2020-02-10;0
"MG";2020-02-11;1
"MG";2020-02-12;0
"MG";2020-02-13;0
"MG";2020-02-14;1
"MG";2020-02-15;0
"MG";2020-02-16;0
"MG";2020-02-17;0
"MG";2020-02-18;2
"MG";2020-02-19;1
"MG";2020-02-20;0
"MG";2020-02-21;0
"MG";2020-02-22;1
"MG";2020-02-23;1
"MG";2020-02-24;1
"MG";2020-02-25;2
"MG";2020-02-26;0
"MG";2020-02-27;0
"MG";2020-02-28;0
"MG";2020-02-29;0
"MG";2020-03-01;0
"MG";2020-03-02;1
"MG";2020-03-03;0
"MG";2020-03-04;1
"MG";2020-03-05;3
"MG";2020-03-06;0
"MG";2020-03-07;2
"MG";2020-03-08;1
"MG";2020-03-09;1
"MG";2020-03-10;1
"MG";2020-03-11;1
"MG";2020-03-12;0
"MG";2020-03-13;1
"MG";2020-03-14;0
"MG";2020-03-15;1
"MG";2020-03-16;3
"MG";2020-03-17;0
"MG";2020-03-18;2
"MG";2020-03-19;3
"MG";2020-03-20;4
"MG";2020-03-21;9
"MG";2020-03-22;9
"MG";2020-03-23;14
"MG";2020-03-24;18
"MG";2020-03-25;9
"MG";2020-03-26;26
"MG";2020-03-27;11
"MG";2020-03-28;19
"MG";2020-03-29;21
"MG";2020-03-30;18
"MG";2020-03-31;26
"MG";2020-04-01;23
"MG";2020-04-02;24
"MG";2020-04-03;22
"MG";2020-04-04;13
"MG";2020-04-05;28
"MG";2020-04-06;25
"MG";2020-04-07;27
"MG";2020-04-08;29
"MG";2020-04-09;23
"MG";2020-04-10;26
"MG";2020-04-11;24
"MG";2020-04-12;24
"MG";2020-04-13;28
"MG";2020-04-14;22
"MG";2020-04-15;26
"MG";2020-04-16;30
"MG";2020-04-17;16
"MG";2020-04-18;18
"MG";2020-04-19;31
"MG";2020-04-20;29
"MG";2020-04-21;30
"MG";2020-04-22;26
"MG";2020-04-23;27
"MG";2020-04-24;26
"MG";2020-04-25;17
"MG";2020-04-26;28
"MG";2020-04-27;30
"MG";2020-04-28;27
"MG";2020-04-29;33
"MG";2020-04-30;34
"MG";2020-05-01;26
"MG";2020-05-02;39
"MG";2020-05-03;25
"MG";2020-05-04;31
"MG";2020-05-05;32
"MG";2020-05-06;25
"MG";2020-05-07;29
"MG";2020-05-08;31
"MG";2020-05-09;29
"MG";2020-05-10;34
"MG";2020-05-11;30
"MG";2020-05-12;25
"MG";2020-05-13;39
"MG";2020-05-14;34
"MG";2020-05-15;30
"MG";2020-05-16;34
"MG";2020-05-17;39
"MG";2020-05-18;38
"MG";2020-05-19;41
"MG";2020-05-20;49
"MG";2020-05-21;28
"MG";2020-05-22;38
"MG";2020-05-23;41
"MG";2020-05-24;27
"MG";2020-05-25;39
"MG";2020-05-26;40
"MG";2020-05-27;36
"MG";2020-05-28;37
"MG";2020-05-29;46
"MG";2020-05-30;45
"MG";2020-05-31;39
"MG";2020-06-01;46
"MG";2020-06-02;54
"MG";2020-06-03;47
"MG";2020-06-04;53
"MG";2020-06-05;53
"MG";2020-06-06;35
"MG";2020-06-07;52
"MG";2020-06-08;44
"MG";2020-06-09;69
"MG";2020-06-10;61
"MG";2020-06-11;48
"MG";2020-06-12;76
"MG";2020-06-13;65
"MG";2020-06-14;67
"MG";2020-06-15;75
"MG";2020-06-16;66
"MG";2020-06-17;45
"MG";2020-06-18;69
"MG";2020-06-19;51
"MG";2020-06-20;70
"MG";2020-06-21;52
"MG";2020-06-22;75
"MG";2020-06-23;71
"MG";2020-06-24;69
"MG";2020-06-25;73
"MG";2020-06-26;91
"MG";2020-06-27;87
"MG";2020-06-28;79
"MG";2020-06-29;92
"MG";2020-06-30;86
"MG";2020-07-01;88
"MG";2020-07-02;99
"MG";2020-07-03;88
"MG";2020-07-04;102
"MG";2020-07-05;103
"MG";2020-07-06;98
"MG";2020-07-07;84
"MG";2020-07-08;118
"MG";2020-07-09;99
"MG";2020-07-10;116
"MG";2020-07-11;95
"MG";2020-07-12;107
"MG";2020-07-13;105
"MG";2020-07-14;104
"MG";2020-07-15;109
"MG";2020-07-16;104
"MG";2020-07-17;107
"MG";2020-07-18;109
"MG";2020-07-19;102
"MG";2020-07-20;104
"MG";2020-07-21;120
"MG";2020-07-22;107
"MG";2020-07-23;112
"MG";2020-07-24;123
"MG";2020-07-25;118
"MG";2020-07-26;96
"MG";2020-07-27;117
"MG";2020-07-28;101
"MG";2020-07-29;93
"MG";2020-07-30;113
"MG";2020-07-31;109
"MG";2020-08-01;98
"MG";2020-08-02;109
"MG";2020-08-03;95
"MG";2020-08-04;91
"MG";2020-08-05;98
"MG";2020-08-06;105
"MG";2020-08-07;110
"MG";2020-08-08;91
"MG";2020-08-09;93
"MG";2020-08-10;89
"MG";2020-08-11;88
"MG";2020-08-12;102
"MG";2020-08-13;108
"MG";2020-08-14;88
"MG";2020-08-15;111
"MG";2020-08-16;116
"MG";2020-08-17;80
"MG";2020-08-18;112
"MG";2020-08-19;93
"MG";2020-08-20;70
"MG";2020-08-21;69
"MG";2020-08-22;88
"MG";2020-08-23;88
"MG";2020-08-24;93
"MG";2020-08-25;90
"MG";2020-08-26;82
"MG";2020-08-27;77
"MG";2020-08-28;81
"MG";2020-08-29;64
"MG";2020-08-30;77
"MG";2020-08-31;67
"MG";2020-09-01;82
"MG";2020-09-02;54
"MG";2020-09-03;49
"MG";2020-09-04;30
"MG";2020-09-05;21
"MG";2020-09-06;10
"MG";2020-09-07;5
